P00913	835
P06613	348
P11027	613
P03021	229
P51024	278
P76116	8190
P60472	368
P62707	14400
P45533	518
P45467	571
P45390	1320
P60752	206
P55741	4180
P24167	1840
P77482	3190
Q00191	93
P22783	3190
P45389	704
P08660	132
P52049	348
P63020	10200
P77552	278
P32678	106
P33362	160
P02367	61000
P37188	704
P00957	1830
P24213	141
P37688	1040
P15484	115
P07762	100
P00550	186
P02410	61000
P02426	31200
P75849	250
P45802	368
P14175	805
P30855	82
P11285	5230
P25716	13800
P39177	613
P02924	137
P25519	167
P25529	530
P02428	46700
P19935	1150
P52065	704
P09454	198
P60240	421
P07118	1620
P46143	382
P36683	1630
P07671	322
P00811	147
P32174	368
P76141	167
P09053	289
P21590	613
P08756	2110
P24231	435
P05194	278
P28909	410
P24233	5230
P77562	167
P25745	414
P25888	186
P06971	479
P02914	212
P75783	112
P21202	2200
Q47130	1390
P16659	2350
P75838	399
P16528	167
Q46856	613
P08193	805
P31546	278
P07651	3090
P09323	278
P77499	176
P76658	243
P25661	453
P46130	339
P37754	348
P06986	212
P00928	223
P18393	1040
P10957	229
P36672	250
P17993	339
P76290	223
P09376	2030
P39903	250
P00954	2660
P02928	910
P31057	2110
P77247	295
P11349	117
P23836	786
P30138	405
P37163	61000
P09200	453
P02370	885000
P02414	11400
P36929	141
P10740	339
P39174	955
P04693	510
P46132	763
P23917	186
P25437	453
P29679	186
P09372	16000
P32721	114
P23909	88
P09830	805
P08374	20900
P05797	382
P00510	453
P32661	805
P03807	212
P30977	2660
P28689	368
P02392	5760000
P23003	147
P39401	102
P02424	453000
P45756	117
P02917	414
P77293	229
P21599	679
P23483	546
P37175	348
P31133	223
P07459	2420
P39406	518
P02390	18600
P02901	10200
P27190	77
P76187	198
P03020	1980
P75780	379
P09391	278
P08203	250
P76055	348
P52054	546
P02354	91100
P03815	1640
P06996	3560
Q59384	518
P76258	1040
P37902	295
P06995	582
P15877	467
P39315	236
P23884	613
P32680	268
P60757	640
P43329	104
P29209	2660
P25907	122
P32703	160
P77241	686
P08338	453
P36541	491
P02436	186000000
P05826	664
P28635	805
P32164	11400
P21892	1250
P09156	1910
P15716	287
P37330	114
P40191	289
P35340	1250
P13519	1490
P14177	1980
P07002	198
P02925	4630
P21507	157
P37192	640
P37066	546
P07011	212
P76550	202
P09371	295
P75844	1390
P23930	186
P00501	1390
P37329	479
P00477	10500
P11557	593
P03025	613
P08367	453
P77718	453
P46885	333
P77561	102
P04805	2250
P33221	792
P51001	1200
P23721	5740
P08200	8190
P13036	358
P15977	149
P07176	5060
P05848	1040
P36559	664
P39435	1280
P06149	94
P37648	432
P24285	160
P07862	392
P11648	577
P13024	250
P23863	763
P21155	3330
P19673	638
P45471	315
P02356	45300
P17117	1490
P31222	664
P02373	95200
P17315	483
P76370	236
Q52280	613
P76492	1040
Q46829	859
P77395	2110
P23839	950
P02420	19400
P00490	752
P23304	1990
P76272	94
P77392	263
P76504	704
P71295	212
P02998	16000
P10378	859
P00955	950
P09097	1210
P09158	835
P06964	167
P24251	348
P80063	498
P37347	250
P07005	278
P11668	2510
P02358	28400
P36565	198
P45529	198
P31803	31200
P24178	1040
P08323	160
P43675	207
P39811	530
P02351	99200
P25521	5850
P25665	497
P0A8N5	658
P33940	114
P36671	2110
P09997	382
P33921	1680
P04816	424
P25715	10200
P28692	229
P25739	2980
P0A6T1	3330
P37095	731
P17288	7160
P07012	1780
Q46863	167
P04790	29000
P09151	664
P23874	117
P06975	571
P17952	260
P76367	2660
P33635	333
P25662	427
P10377	950
P11603	153
P60560	640
P02435	39000
P43781	1040
P15028	348
P11721	160
P36539	805
P36766	1040
P12281	278
P23486	278
P08957	348
P36768	1040
P02341	95200
P06138	966
P37797	805
P15288	2360
P39171	3650
P33644	382
P24223	737
P23199	98
P45955	3440
P27838	315
P06982	501
P76008	295
P07906	571
P25520	1170
P06128	474
P06992	546
P25894	368
P55139	268
P00962	1680
P37051	1680
P39835	167
P75914	315
P03033	212
P77252	186
P00391	22400
P00968	972
P46853	727
P03017	686
P23882	1040
P22255	212
P07004	453
P41407	315
P07015	1330
P37096	2110
P06981	8520
P04381	704
P05828	405
P00894	405
P24181	114
P40874	301
P13000	664
P12008	236
P05791	117
P24203	186
P37760	453
P76558	453
P52061	392
P26646	186
P36658	1220
P20083	106
P45396	453
P40120	229
P0A8N3	2940
P33016	392
P38489	1840
P17577	6540
P08839	5700
P23844	939
P28694	1040
P24183	73
P23894	278
P37765	368
P37692	153
P19674	229
P37665	835
P37187	1280
P30849	1220
P55253	160
P31979	613
P32176	672
P30017	2110
P30848	339
P33998	692
P17112	212
P75947	453
P23282	153
P45803	905
P17580	94
P08373	212
P07395	1520
P76015	167
P06612	556
P76034	212
P07003	124
P31465	518
P30125	530
P27434	737
P11454	407
P17994	117
P30148	8190
P06959	8020
P33138	731
P24247	704
P12283	7160
P10121	518
P33597	1040
P45571	613
P08312	1720
P02430	1730000
P75793	94
P00509	2110
P07638	673
P27511	737
P10440	664
P75874	278
P30854	198
P08178	1430
P27248	1880
P00951	1630
O69415	250
P37626	153
P39202	250
P18196	250
P02995	2500
P39286	202
P00859	892
P03018	93
P77500	176
P76316	186
P04036	483
P37901	12800
P06715	763
P09028	2660
P32050	117
P02422	4180
P31554	372
P31221	1680
P27430	3730
P17448	392
P33650	162
P06998	1550
P24201	518
